Epoch 1 starting...
  Batch 400, Avg Loss=2.9362
  Batch 450, Avg Loss=2.9149
  Batch 500, Avg Loss=2.9183
  Batch 550, Avg Loss=2.9160
  Batch 600, Avg Loss=2.8866
  Batch 650, Avg Loss=2.9153
  Batch 700, Avg Loss=2.9102
  Batch 750, Avg Loss=2.9213
  Batch 800, Avg Loss=2.9175
  Batch 850, Avg Loss=2.9410
  Batch 900, Avg Loss=2.9118
  Batch 950, Avg Loss=2.9300
  Batch 1000, Avg Loss=2.9019
  Batch 1050, Avg Loss=2.9124
  Batch 1100, Avg Loss=2.9420
  Batch 1150, Avg Loss=2.9225
  Batch 1200, Avg Loss=2.9042
  Batch 1250, Avg Loss=2.9237
  Batch 1300, Avg Loss=2.9177
  Batch 1350, Avg Loss=2.9131
  Batch 1400, Avg Loss=2.9016
  Batch 1450, Avg Loss=2.9259
  Batch 1500, Avg Loss=2.9147
  Batch 1550, Avg Loss=2.9158
Epoch 10 starting...
  Batch 50, Avg Loss=2.9217
  Batch 100, Avg Loss=2.9091
  Batch 150, Avg Loss=2.9369
  Batch 200, Avg Loss=2.8918
  Batch 250, Avg Loss=2.9004
  Batch 300, Avg Loss=2.9123
  Batch 350, Avg Loss=2.9118
  Batch 400, Avg Loss=2.9227
  Batch 450, Avg Loss=2.9237
  Batch 500, Avg Loss=2.9147
  Batch 550, Avg Loss=2.9072
  Batch 600, Avg Loss=2.9098
  Batch 650, Avg Loss=2.9118
  Batch 700, Avg Loss=2.9103
  Batch 750, Avg Loss=2.9086
  Batch 800, Avg Loss=2.8984
  Batch 850, Avg Loss=2.9185
  Batch 900, Avg Loss=2.9185
  Batch 950, Avg Loss=2.8837
  Batch 1000, Avg Loss=2.9180
  Batch 1050, Avg Loss=2.9238
  Batch 1100, Avg Loss=2.8978
  Batch 1150, Avg Loss=2.9248
  Batch 1200, Avg Loss=2.9137
  Batch 1250, Avg Loss=2.8992
  Batch 1300, Avg Loss=2.8975
  Batch 1350, Avg Loss=2.9042
  Batch 1400, Avg Loss=2.9079
  Batch 1450, Avg Loss=2.9113
  Batch 1500, Avg Loss=2.9111
  Batch 1550, Avg Loss=2.9251
Epoch 11 starting...
  Batch 50, Avg Loss=2.9076
  Batch 100, Avg Loss=2.8981
  Batch 150, Avg Loss=2.8848
  Batch 200, Avg Loss=2.9085
  Batch 250, Avg Loss=2.8796
  Batch 300, Avg Loss=2.8916
  Batch 350, Avg Loss=2.9220
  Batch 400, Avg Loss=2.8932
  Batch 450, Avg Loss=2.9112
  Batch 500, Avg Loss=2.8984
  Batch 550, Avg Loss=2.9022
  Batch 600, Avg Loss=2.9054
  Batch 650, Avg Loss=2.9031
  Batch 700, Avg Loss=2.9020
  Batch 750, Avg Loss=2.9030
  Batch 800, Avg Loss=2.9085
  Batch 850, Avg Loss=2.8995
  Batch 900, Avg Loss=2.8890
  Batch 950, Avg Loss=2.9110
  Batch 1000, Avg Loss=2.8920
  Batch 1050, Avg Loss=2.9088
  Batch 1100, Avg Loss=2.8859
  Batch 1150, Avg Loss=2.8966
  Batch 1200, Avg Loss=2.8869
  Batch 1250, Avg Loss=2.8966
  Batch 1300, Avg Loss=2.8933
  Batch 1350, Avg Loss=2.9257
  Batch 1400, Avg Loss=2.9208
  Batch 1450, Avg Loss=2.8904
  Batch 1500, Avg Loss=2.9004
  Batch 1550, Avg Loss=2.8962
Epoch 12 starting...
  Batch 50, Avg Loss=2.8920
  Batch 100, Avg Loss=2.9015
  Batch 150, Avg Loss=2.9045
  Batch 200, Avg Loss=2.9152
  Batch 250, Avg Loss=2.8964
  Batch 300, Avg Loss=2.8925
  Batch 350, Avg Loss=2.8886
  Batch 400, Avg Loss=2.9103
  Batch 450, Avg Loss=2.8914
  Batch 500, Avg Loss=2.8883
  Batch 550, Avg Loss=2.9123
  Batch 600, Avg Loss=2.9053
  Batch 650, Avg Loss=2.8876
  Batch 700, Avg Loss=2.8907
  Batch 750, Avg Loss=2.9124
  Batch 800, Avg Loss=2.8969
  Batch 850, Avg Loss=2.8965
  Batch 900, Avg Loss=2.9079
  Batch 950, Avg Loss=2.9015
  Batch 1000, Avg Loss=2.9046
  Batch 1050, Avg Loss=2.8958
  Batch 1100, Avg Loss=2.9012
  Batch 1150, Avg Loss=2.8997
  Batch 1200, Avg Loss=2.8936
  Batch 1250, Avg Loss=2.8756
  Batch 1300, Avg Loss=2.8904
  Batch 1350, Avg Loss=2.9262
  Batch 1400, Avg Loss=2.8928
  Batch 1450, Avg Loss=2.9066
  Batch 1500, Avg Loss=2.8856
  Batch 1550, Avg Loss=2.8921
Epoch 13 starting...
  Batch 50, Avg Loss=2.8761
  Batch 100, Avg Loss=2.9004
  Batch 150, Avg Loss=2.8888
  Batch 200, Avg Loss=2.8703
  Batch 250, Avg Loss=2.9263
  Batch 300, Avg Loss=2.8678
  Batch 350, Avg Loss=2.8780
  Batch 400, Avg Loss=2.8770
  Batch 450, Avg Loss=2.9124
  Batch 500, Avg Loss=2.8871
  Batch 550, Avg Loss=2.8862
  Batch 600, Avg Loss=2.8923
  Batch 650, Avg Loss=2.8725
  Batch 700, Avg Loss=2.8995
  Batch 750, Avg Loss=2.8726
  Batch 800, Avg Loss=2.8964
  Batch 850, Avg Loss=2.8968
  Batch 900, Avg Loss=2.8845
  Batch 950, Avg Loss=2.8791
  Batch 1000, Avg Loss=2.8744
  Batch 1050, Avg Loss=2.8926
  Batch 1100, Avg Loss=2.8862
  Batch 1150, Avg Loss=2.8987
  Batch 1200, Avg Loss=2.9167
  Batch 1250, Avg Loss=2.8945
  Batch 1300, Avg Loss=2.9022
  Batch 1350, Avg Loss=2.8751
  Batch 1400, Avg Loss=2.8902
  Batch 1450, Avg Loss=2.8706
  Batch 1500, Avg Loss=2.9030
  Batch 1550, Avg Loss=2.8885
Epoch 14 starting...
  Batch 50, Avg Loss=2.8777
  Batch 100, Avg Loss=2.8906
  Batch 150, Avg Loss=2.8636
  Batch 200, Avg Loss=2.8555
  Batch 250, Avg Loss=2.9062
  Batch 300, Avg Loss=2.8662
  Batch 350, Avg Loss=2.8759
  Batch 400, Avg Loss=2.8749
  Batch 450, Avg Loss=2.8694
  Batch 500, Avg Loss=2.8704
  Batch 550, Avg Loss=2.8745
  Batch 600, Avg Loss=2.8766
  Batch 650, Avg Loss=2.8870
  Batch 700, Avg Loss=2.9021
  Batch 750, Avg Loss=2.8951
  Batch 800, Avg Loss=2.8791
  Batch 850, Avg Loss=2.8740
  Batch 900, Avg Loss=2.9078
  Batch 950, Avg Loss=2.8954
  Batch 1000, Avg Loss=2.8772
  Batch 1050, Avg Loss=2.9044
  Batch 1100, Avg Loss=2.8796
  Batch 1150, Avg Loss=2.8798
  Batch 1200, Avg Loss=2.8990
  Batch 1250, Avg Loss=2.8744
  Batch 1300, Avg Loss=2.8850
  Batch 1350, Avg Loss=2.8946
  Batch 1400, Avg Loss=2.8753
  Batch 1450, Avg Loss=2.8979
  Batch 1500, Avg Loss=2.8708
  Batch 1550, Avg Loss=2.8824
Epoch 15 starting...
  Batch 50, Avg Loss=2.8833
  Batch 100, Avg Loss=2.8905
  Batch 150, Avg Loss=2.8635
  Batch 200, Avg Loss=2.8598
  Batch 250, Avg Loss=2.8670
  Batch 300, Avg Loss=2.8618
  Batch 350, Avg Loss=2.8560
  Batch 400, Avg Loss=2.8739
  Batch 450, Avg Loss=2.8796
  Batch 500, Avg Loss=2.8824
  Batch 550, Avg Loss=2.8725
  Batch 600, Avg Loss=2.8675
  Batch 650, Avg Loss=2.8866
  Batch 700, Avg Loss=2.8724
  Batch 750, Avg Loss=2.8595
  Batch 800, Avg Loss=2.8755
  Batch 850, Avg Loss=2.8693
  Batch 900, Avg Loss=2.8798
  Batch 950, Avg Loss=2.8708
  Batch 1000, Avg Loss=2.8943
  Batch 1050, Avg Loss=2.9174
  Batch 1100, Avg Loss=2.8789
  Batch 1150, Avg Loss=2.8687
  Batch 1200, Avg Loss=2.8812
  Batch 1250, Avg Loss=2.8706
  Batch 1300, Avg Loss=2.8968
  Batch 1350, Avg Loss=2.8675
  Batch 1400, Avg Loss=2.8600
  Batch 1450, Avg Loss=2.8645
  Batch 1500, Avg Loss=2.8730
  Batch 1550, Avg Loss=2.8859
Epoch 16 starting...
  Batch 50, Avg Loss=2.8738
  Batch 100, Avg Loss=2.8733
  Batch 150, Avg Loss=2.8667
  Batch 200, Avg Loss=2.8697
  Batch 250, Avg Loss=2.8521
  Batch 300, Avg Loss=2.8589
  Batch 350, Avg Loss=2.8664
  Batch 400, Avg Loss=2.8650
  Batch 450, Avg Loss=2.8715
  Batch 500, Avg Loss=2.8583
  Batch 550, Avg Loss=2.8813
  Batch 600, Avg Loss=2.8654
  Batch 650, Avg Loss=2.8858
  Batch 700, Avg Loss=2.8724
  Batch 750, Avg Loss=2.8687
  Batch 800, Avg Loss=2.8728
  Batch 850, Avg Loss=2.8665
  Batch 900, Avg Loss=2.8743
  Batch 950, Avg Loss=2.8563
  Batch 1000, Avg Loss=2.8458
  Batch 1050, Avg Loss=2.8747
  Batch 1100, Avg Loss=2.8678
  Batch 1150, Avg Loss=2.8776
  Batch 1200, Avg Loss=2.8533
  Batch 1250, Avg Loss=2.8765
  Batch 1300, Avg Loss=2.8747
  Batch 1350, Avg Loss=2.8739
  Batch 1400, Avg Loss=2.8644
  Batch 1450, Avg Loss=2.8708
  Batch 1500, Avg Loss=2.8612
  Batch 1550, Avg Loss=2.8890
Epoch 17 starting...
  Batch 50, Avg Loss=2.8662
  Batch 100, Avg Loss=2.8649
  Batch 150, Avg Loss=2.8483
  Batch 200, Avg Loss=2.8579
  Batch 250, Avg Loss=2.8801
  Batch 300, Avg Loss=2.8755
  Batch 350, Avg Loss=2.8748
  Batch 400, Avg Loss=2.8662
  Batch 450, Avg Loss=2.8646
  Batch 500, Avg Loss=2.8697
  Batch 550, Avg Loss=2.8525
  Batch 600, Avg Loss=2.8597
  Batch 650, Avg Loss=2.8695
  Batch 700, Avg Loss=2.8613
  Batch 750, Avg Loss=2.8560
  Batch 800, Avg Loss=2.8829
  Batch 850, Avg Loss=2.8466
  Batch 900, Avg Loss=2.8516
  Batch 950, Avg Loss=2.8607
  Batch 1000, Avg Loss=2.8609
  Batch 1050, Avg Loss=2.8526
  Batch 1100, Avg Loss=2.8739
  Batch 1150, Avg Loss=2.8558
  Batch 1200, Avg Loss=2.8719
  Batch 1250, Avg Loss=2.8482
  Batch 1300, Avg Loss=2.8575
  Batch 1350, Avg Loss=2.8862
  Batch 1400, Avg Loss=2.8839
  Batch 1450, Avg Loss=2.8665
  Batch 1500, Avg Loss=2.8847
  Batch 1550, Avg Loss=2.8701
Epoch 18 starting...
  Batch 50, Avg Loss=2.8493
  Batch 100, Avg Loss=2.8666
  Batch 150, Avg Loss=2.8643
  Batch 200, Avg Loss=2.8623
  Batch 250, Avg Loss=2.8306
  Batch 300, Avg Loss=2.8709
  Batch 350, Avg Loss=2.8654
  Batch 400, Avg Loss=2.8604
  Batch 450, Avg Loss=2.8423
  Batch 500, Avg Loss=2.8871
  Batch 550, Avg Loss=2.8517
  Batch 600, Avg Loss=2.8574
  Batch 650, Avg Loss=2.8533
  Batch 700, Avg Loss=2.8757
  Batch 750, Avg Loss=2.8590
  Batch 800, Avg Loss=2.8648
  Batch 850, Avg Loss=2.8704
  Batch 900, Avg Loss=2.8712
  Batch 950, Avg Loss=2.8723
  Batch 1000, Avg Loss=2.8480
  Batch 1050, Avg Loss=2.8672
  Batch 1100, Avg Loss=2.8731
  Batch 1150, Avg Loss=2.8578
  Batch 1200, Avg Loss=2.8680
  Batch 1250, Avg Loss=2.8559
  Batch 1300, Avg Loss=2.8569
  Batch 1350, Avg Loss=2.8776
  Batch 1400, Avg Loss=2.8570
  Batch 1450, Avg Loss=2.8502
  Batch 1500, Avg Loss=2.8244
  Batch 1550, Avg Loss=2.8598
Epoch 19 starting...
  Batch 50, Avg Loss=2.8528
  Batch 100, Avg Loss=2.8520
  Batch 150, Avg Loss=2.8638
  Batch 200, Avg Loss=2.8654
  Batch 250, Avg Loss=2.8445
  Batch 300, Avg Loss=2.8314
  Batch 350, Avg Loss=2.8348
  Batch 400, Avg Loss=2.8325
  Batch 450, Avg Loss=2.8531
  Batch 500, Avg Loss=2.8320
  Batch 550, Avg Loss=2.8731
  Batch 600, Avg Loss=2.8632
  Batch 650, Avg Loss=2.8539
  Batch 700, Avg Loss=2.8504
  Batch 750, Avg Loss=2.8740
  Batch 800, Avg Loss=2.8516
  Batch 850, Avg Loss=2.8368
  Batch 900, Avg Loss=2.8674
  Batch 950, Avg Loss=2.8468
  Batch 1000, Avg Loss=2.8602
  Batch 1050, Avg Loss=2.8541
  Batch 1100, Avg Loss=2.8609
  Batch 1150, Avg Loss=2.8366
  Batch 1200, Avg Loss=2.8475
  Batch 1250, Avg Loss=2.8442
  Batch 1300, Avg Loss=2.8635
  Batch 1350, Avg Loss=2.8568
  Batch 1400, Avg Loss=2.8767
  Batch 1450, Avg Loss=2.8567
  Batch 1500, Avg Loss=2.8559
  Batch 1550, Avg Loss=2.8557
Epoch 20 starting...
  Batch 50, Avg Loss=2.8462
  Batch 100, Avg Loss=2.8696
  Batch 150, Avg Loss=2.8514
  Batch 200, Avg Loss=2.8509
  Batch 250, Avg Loss=2.8370
  Batch 300, Avg Loss=2.8646
  Batch 350, Avg Loss=2.8609
  Batch 400, Avg Loss=2.8672
  Batch 450, Avg Loss=2.8698
  Batch 500, Avg Loss=2.8453
  Batch 550, Avg Loss=2.8388
